Week,avax coin: (Worldwide),ftm coin: (Worldwide),sol coin: (Worldwide),luna coin: (Worldwide),matic coin: (Worldwide)
2/7/2021,27,1,4,9,16
2/14/2021,24,3,3,4,9
2/21/2021,12,14,8,4,11
2/28/2021,9,6,3,5,10
3/7/2021,16,5,4,10,25
3/14/2021,13,4,7,18,18
3/21/2021,16,4,4,4,9
3/28/2021,15,7,7,4,15
4/4/2021,13,4,11,3,10
4/11/2021,22,4,5,5,14
4/18/2021,10,2,12,6,8
4/25/2021,9,7,17,9,48
5/2/2021,10,6,9,6,24
5/9/2021,18,10,12,15,71
5/16/2021,9,4,14,10,100
5/23/2021,6,2,11,8,87
5/30/2021,5,3,11,5,60
6/6/2021,4,3,9,4,39
6/13/2021,5,2,8,5,32
6/20/2021,2,2,7,3,28
6/27/2021,3,2,7,3,23
7/4/2021,3,<1,5,6,15
7/11/2021,2,1,6,3,16
7/18/2021,2,1,6,3,18
7/25/2021,3,1,6,4,21
8/1/2021,4,3,5,7,20
8/8/2021,3,2,6,7,34
8/15/2021,26,4,19,18,27
8/22/2021,34,3,19,13,23
8/29/2021,19,15,45,14,21
9/5/2021,22,16,60,11,22
9/12/2021,39,11,42,10,17
9/19/2021,28,7,35,9,16
9/26/2021,28,4,20,7,9
10/3/2021,27,8,18,13,10
10/10/2021,21,9,14,12,22
10/17/2021,22,12,22,12,25
10/24/2021,18,16,20,11,33
10/31/2021,20,12,20,13,23
11/7/2021,29,18,23,10,20
11/14/2021,45,12,11,11,22
11/21/2021,65,14,16,9,19
11/28/2021,40,7,15,21,30
12/5/2021,37,7,13,21,42
12/12/2021,47,7,12,13,33
12/19/2021,46,10,11,29,30
12/26/2021,28,10,7,24,27
1/2/2022,34,22,8,18,23
1/9/2022,27,13,10,14,18
1/16/2022,24,17,8,14,18
1/23/2022,31,16,11,23,16
