slug,yearly_growth
0chain,40.37157620058842
aelf,37.756227510917654
airswap,26.08695927014361
amon,inf
appcoins,inf
arcblock,inf
atlant,inf
auctus,inf
autonio,59.89611702674326
bancor,6.521665370093285
basic-attention-token,10.13633430151435
bezant,inf
bitkan,inf
blockcloud,inf
cashaa,inf
cashbet-coin,inf
coineal-token,nan
coinus,inf
contents-protocol,nan
covesting,nan
crypto-com,79.46475906594951
cwv-chain,nan
cybervein,inf
daex,nan
daostack,nan
dew,nan
digixdao,inf
district0x,25.935247615926382
dos-network,inf
electrifyasia,nan
encrypgen,inf
engine,nan
ethos,91.86543681376837
evencoin,nan
everycoin,nan
flexacoin,inf
gemini-dollar,38.00504382841653
golem-network-tokens,inf
herbalist-token,nan
hold,nan
iconiq-lab-token,nan
igtoken,inf
internxt,inf
invictus-hyperion-fund,inf
iot-chain,inf
iqeon,inf
ixledger,nan
kryll,69.62534891179607
kyber-network,inf
lamden,nan
lendingblock,inf
linkeye,inf
litex,inf
machine-xchange-coin,33.326113005064144
maker,9.505706373970893
matic-network,11.909738603368604
metronome,67.33557129114277
mobilego,nan
moeda-loyalty-points,inf
mytoken,inf
napoleonx,inf
neural-protocol,nan
niobium-coin,nan
nuggets,inf
ocean-protocol,inf
okb,49.463427010874035
omnitude,nan
origintrail,25.036404979420713
patron,nan
peculium,nan
pibble,nan
poet,nan
polyswarm,inf
privatix,inf
pumapay,inf
quadrantprotocol,inf
qunqun,inf
refereum,inf
rentberry,nan
reserve-rights,nan
ripio-credit-network,38.14059308397182
rocket-pool,45.14213373715509
ruff,nan
seele,inf
sentinel-protocol,inf
sf-capital,nan
sharder,inf
shipchain,inf
singulardtv,inf
sonm,inf
starbase,nan
streamr-datacoin,34.233129662716586
swissborg,18.981308927208115
tael,inf
te-food,nan
traceability-chain,nan
ubex,nan
usd-coin,4.377285709784052
v-id,inf
waletoken,inf
trust,inf
wings,inf
xyo,188.25343008839286
yuan-chain-coin,inf
zippie,inf
binance-coin,5.721097873265469
akropolis,36.492400194586736
chromia,inf
crypto-com-coin,14.771814932569786
origo,nan
paxos-standard,9.012587070299737
q-dao-governance-token,nan
tcash,nan
aave,5.751667875585052
azbit,nan
bidipass,nan
cryptobosscoin,nan
digitalbits,27.62487389380475
gomics,inf
inlock,nan
mx-token,86.85151748531224
planet,nan
probit,nan
dad-chain,inf
